Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Destination_Channel,subtotal_amount_USD,total_tax_USD,net_sales_USD,store_order_number,store_number,Tip_USD
541,4.817,38.0,15.033,iOS,Delivery,Dispatch,16.08,0.97,16.08,88|20230330|0053,88,1.66
541,22.067,39.667,33.333,iOS,Delivery,Dispatch,28.27,0.5,8.27,88|20230330|0020,88,3.49
541,6.1,26.583,17.4,iOS,Delivery,Dispatch,45.45,1.84,30.73,5166|20230330|0028,5166,0.0
541,12.95,26.383,20.967,iOS,Delivery,Dispatch,41.77,2.01,33.48,5166|20230330|0041,5166,10.0
541,4.367,33.867,11.133,iOS,Delivery,Dispatch,38.33,1.86,30.93,88|20230330|0056,88,0.0
541,15.867,29.5,24.867,iOS,Delivery,Dispatch,26.56,1.41,23.46,5166|20230330|0079,5166,4.03
541,12.617,36.467,23.667,iOS,Delivery,Dispatch,42.14,2.1,35.0,18|20230330|0164,18,3.0
541,22.033,46.15,36.317,iOS,Delivery,Dispatch,32.96,1.98,32.96,18|20230330|0166,18,0.0
541,11.35,28.583,18.767,iOS,Delivery,Dispatch,31.35,1.14,19.03,18|20230330|0102,18,0.0
541,17.517,38.933,25.0,iOS,Delivery,Dispatch,13.48,0.81,13.48,18|20230330|0013,18,0.0
541,12.183,36.067,18.867,iOS,Delivery,Dispatch,15.16,0.31,5.16,18|20230330|0170,18,0.0
541,11.083,36.567,19.233,iOS,Delivery,Dispatch,25.16,1.29,21.56,18|20230330|0146,18,0.0
541,20.8,50.167,28.067,iOS,Delivery,Dispatch,30.37,1.04,17.27,18|20230330|0091,18,2.0
541,16.283,29.533,24.55,iOS,Delivery,Dispatch,12.98,0.78,12.98,18|20230330|0135,18,1.2
541,23.267,49.083,33.083,iOS,Delivery,Dispatch,34.25,1.31,21.86,18|20230330|0113,18,0.0
541,5.517,38.85,14.85,iOS,Delivery,Dispatch,31.83,1.64,27.29,88|20230330|0021,88,5.0
541,0.833,18.983,10.267,iOS,Delivery,Dispatch,44.95,2.7,44.95,5166|20230330|0082,5166,6.07
541,9.567,27.533,17.517,iOS,Delivery,Dispatch,23.26,1.21,20.16,18|20230330|0171,18,0.0
541,8.467,27.667,16.95,Android,Delivery,Dispatch,20.98,1.02,16.98,88|20230330|0040,88,3.2
541,27.067,40.45,34.967,Android,Delivery,Dispatch,30.56,1.51,25.16,5166|20230330|0058,5166,3.67
541,6.267,27.583,17.833,Android,Delivery,Dispatch,27.96,1.65,27.46,18|20230330|0216,18,3.45
541,13.95,33.367,21.233,Android,Delivery,Dispatch,21.98,1.19,19.88,18|20230330|0144,18,0.0
541,6.55,22.067,14.4,Android,Delivery,Dispatch,27.36,1.24,20.66,5166|20230330|0048,5166,3.34
541,0.0,28.933,14.1,Android,Delivery,Dispatch,27.24,1.58,26.24,5166|20230330|0019,5166,4.55
541,14.783,31.167,22.2,Android,Delivery,Dispatch,25.97,0.63,10.57,88|20230330|0061,88,3.88
541,15.883,42.533,23.883,PapaCall - Transcom,Delivery,Dispatch,22.88,1.37,22.88,88|20230330|0037,88,0.0
541,2.183,34.1,12.75,PapaCall - Transcom,Delivery,Dispatch,87.64,4.3,71.74,88|20230330|0071,88,10.0
541,14.683,28.117,21.517,PapaCall - Transcom,Delivery,Dispatch,22.08,1.32,22.08,88|20230330|0076,88,0.0
541,14.867,28.017,21.9,Third Party Call Center - Transcom,Delivery,Dispatch,15.28,0.92,15.28,88|20230330|0084,88,2.06
541,12.65,37.7,24.167,PapaCall - Transcom,Delivery,Dispatch,26.66,1.41,23.56,88|20230330|0033,88,0.0
541,56.917,78.55,64.0,PapaCall,Delivery,Dispatch,19.67,1.18,19.67,18|20230330|0078,18,0.0
541,12.233,31.4,19.233,Mobile Web,Delivery,Dispatch,27.37,1.64,27.37,88|20230330|0014,88,3.36
541,9.55,38.217,17.4,Mobile Web,Delivery,Dispatch,41.66,2.1,34.96,88|20230330|0064,88,4.93
541,5.567,24.7,13.9,Mobile Web,Delivery,Dispatch,34.85,1.67,27.75,88|20230330|0029,88,4.24
541,0.783,19.133,11.6,Mobile Web,Delivery,Dispatch,34.96,2.1,34.96,5166|20230330|0011,5166,4.57
541,2.967,41.85,13.933,Mobile Web,Delivery,Dispatch,30.22,1.48,24.62,88|20230330|0060,88,3.93
541,7.85,30.483,14.3,Mobile Web,Delivery,Dispatch,19.08,0.96,15.98,88|20230330|0070,88,5.0
541,8.367,23.183,16.033,Mobile Web,Delivery,Dispatch,43.03,2.55,42.53,88|20230330|0067,88,5.71
541,5.0,19.55,13.45,Mobile Web,Delivery,Dispatch,40.85,2.13,35.45,88|20230330|0050,88,5.14
541,5.783,29.85,15.333,Mobile Web,Delivery,Dispatch,25.27,1.33,22.17,5166|20230330|0030,5166,4.16
541,23.567,44.617,32.317,Mobile Web,Delivery,Dispatch,29.06,0.96,15.96,88|20230330|0049,88,3.33
541,23.133,37.283,30.217,Mobile Web,Delivery,Dispatch,19.08,1.15,19.08,18|20230330|0069,18,0.0
541,26.9,48.133,35.867,Mobile Web,Delivery,Dispatch,24.57,1.44,24.07,18|20230330|0097,18,0.0
541,3.917,20.05,13.483,Mobile Web,Delivery,Dispatch,26.96,1.56,25.96,18|20230330|0121,18,4.39
541,4.9,23.5,11.783,Mobile Web,Delivery,Dispatch,14.57,0.87,14.57,18|20230330|0202,18,0.0
541,8.467,40.3,24.217,Mobile Web,Delivery,Dispatch,50.76,2.55,42.47,18|20230330|0071,18,0.0
541,1.75,20.367,10.85,Mobile Web,Delivery,Dispatch,22.06,1.07,17.79,18|20230330|0219,18,1.5
541,0.55,14.833,11.15,Mobile Web,Delivery,Dispatch,31.55,1.89,31.55,18|20230330|0203,18,3.98
541,2.2,28.75,15.35,Mobile Web,Delivery,Dispatch,30.87,1.82,30.37,5166|20230330|0069,5166,5.28
541,12.717,27.583,22.567,Mobile Web,Delivery,Dispatch,47.57,2.47,41.17,5166|20230330|0045,5166,6.18
541,0.883,34.733,16.733,Mobile Web,Delivery,Dispatch,49.15,2.92,48.65,5166|20230330|0072,5166,6.7
541,17.133,33.983,24.417,Mobile Web,Delivery,Dispatch,22.78,1.37,22.78,5166|20230330|0080,5166,5.0
541,3.033,23.567,14.05,Mobile Web,Delivery,Dispatch,40.55,2.11,35.23,5166|20230330|0027,5166,0.0
541,6.583,25.2,14.3,Desktop Web,Delivery,Dispatch,19.53,0.93,15.48,5166|20230330|0024,5166,1.83
541,17.383,45.9,27.383,Desktop Web,Delivery,Dispatch,70.59,3.35,55.93,88|20230330|0034,88,9.84
541,2.65,18.7,11.833,Desktop Web,Delivery,Dispatch,20.08,1.02,16.98,88|20230330|0065,88,1.98
541,5.733,22.183,15.083,Desktop Web,Delivery,Dispatch,40.77,1.97,32.87,88|20230330|0052,88,5.58
541,2.417,18.05,9.617,Desktop Web,Delivery,Dispatch,22.78,1.09,18.21,5166|20230330|0015,5166,2.74
541,3.867,32.033,10.65,Desktop Web,Delivery,Dispatch,12.98,0.78,12.98,18|20230330|0177,18,1.6
541,0.05,24.95,16.817,Desktop Web,Delivery,Dispatch,23.96,1.41,23.46,5166|20230330|0073,5166,4.87
754,5.117,21.8,15.817,Desktop Web,Delivery,Dispatch,39.24,0.0,39.24,2792|20230330|0066,2792,0.0
541,12.55,41.45,20.067,Traditional,Delivery,Dispatch,55.56,3.33,55.56,18|20230330|0108,18,0.0
541,0.0,15.85,6.35,Traditional,Delivery,Dispatch,15.28,0.92,15.28,18|20230330|0141,18,0.0
541,3.933,24.35,10.633,iOS,Delivery,Dispatch,18.47,0.9,15.1,88|20221125|0018,88,3.37
541,7.15,27.1,18.933,iOS,Delivery,Dispatch,40.92,1.98,32.92,88|20221125|0029,88,0.0
541,25.767,57.517,33.767,iOS,Delivery,Dispatch,65.01,3.3,55.01,88|20221125|0054,88,15.01
541,31.767,51.65,42.067,iOS,Delivery,Dispatch,51.65,1.99,33.16,18|20221125|0042,18,0.0
541,14.933,29.583,23.55,iOS,Delivery,Dispatch,21.98,1.08,17.98,5166|20221125|0036,5166,0.0
541,11.467,49.433,27.533,iOS,Delivery,Dispatch,33.97,1.68,27.98,5166|20221125|0095,5166,0.0
541,6.233,23.633,17.783,iOS,Delivery,Dispatch,82.62,2.91,48.45,88|20221125|0022,88,12.69
541,2.483,28.167,21.683,iOS,Delivery,Dispatch,43.82,2.03,33.82,5166|20221125|0020,5166,5.9
541,2.983,30.083,24.6,iOS,Delivery,Dispatch,43.22,2.19,36.46,88|20221125|0071,88,6.29
541,4.05,15.633,12.717,iOS,Delivery,Dispatch,40.76,1.91,31.82,88|20221125|0014,88,7.15
541,4.033,25.717,19.35,iOS,Delivery,Dispatch,43.34,2.07,34.54,88|20221125|0095,88,4.43
541,8.05,27.017,22.283,iOS,Delivery,Dispatch,35.66,1.3,21.67,5166|20221125|0101,5166,0.0
541,6.817,20.95,14.317,iOS,Delivery,Dispatch,18.48,0.87,14.48,5166|20221125|0085,5166,2.0
541,33.3,48.05,43.983,iOS,Delivery,Dispatch,29.97,0.96,15.97,5166|20221125|0028,5166,0.0
541,34.067,58.55,48.517,iOS,Delivery,Dispatch,28.46,1.42,23.66,88|20221125|0115,88,2.0
541,39.3,64.717,52.767,iOS,Delivery,Dispatch,52.04,2.29,38.05,88|20221125|0110,88,0.0
541,2.55,27.95,18.6,iOS,Delivery,Dispatch,31.47,1.77,29.47,5166|20221125|0102,5166,3.75
541,5.7,40.617,25.667,Android,Delivery,Dispatch,54.82,1.85,30.82,88|20221125|0099,88,7.19
541,25.1,55.0,33.883,Android,Delivery,Dispatch,45.26,2.36,39.26,88|20221125|0019,88,5.0
541,12.283,28.233,20.9,Android,Delivery,Dispatch,20.37,1.22,20.37,5166|20221125|0096,5166,3.97
541,2.85,24.4,15.233,Android,Delivery,Dispatch,37.23,1.99,33.23,18|20221125|0089,18,2.0
541,15.617,29.683,23.9,Android,Delivery,Dispatch,20.75,1.25,20.75,88|20221125|0113,88,0.0
541,17.083,42.733,33.583,Android,Delivery,Dispatch,34.66,1.24,20.67,88|20221125|0062,88,3.09
541,15.967,45.15,34.967,Android,Delivery,Dispatch,23.77,1.14,18.97,88|20221125|0124,88,0.0
541,4.0,27.85,18.6,Android,Delivery,Dispatch,44.07,1.96,32.64,88|20221125|0102,88,5.65
541,26.183,42.283,34.633,PapaCall,Delivery,Dispatch,23.48,1.17,19.48,18|20221125|0020,18,0.0
541,3.35,38.0,18.367,PapaCall,Delivery,Dispatch,17.57,1.05,17.57,88|20221125|0127,88,0.0
541,24.6,41.483,31.033,PapaCall,Delivery,Dispatch,24.98,1.5,24.98,18|20221125|0060,18,0.0
541,9.383,27.117,16.667,PapaCall,Delivery,Dispatch,21.37,1.22,20.28,18|20221125|0095,18,0.0
541,24.517,46.167,34.467,PapaCall,Delivery,Dispatch,26.67,1.36,22.67,18|20221125|0079,18,0.0
541,3.017,23.883,17.283,Mobile Web,Delivery,Dispatch,51.08,2.82,46.93,88|20221125|0083,88,6.77
541,6.483,21.45,15.567,Mobile Web,Delivery,Dispatch,40.15,1.33,22.16,88|20221125|0039,88,3.0
541,5.767,42.95,18.083,Mobile Web,Delivery,Dispatch,30.77,1.61,26.77,88|20221125|0076,88,3.87
541,33.05,49.467,41.5,Mobile Web,Delivery,Dispatch,38.0,2.16,35.96,18|20221125|0073,18,3.0
541,2.433,26.367,11.433,Mobile Web,Delivery,Dispatch,41.46,2.49,41.46,88|20221125|0094,88,5.47
541,11.383,34.633,23.0,Mobile Web,Delivery,Dispatch,26.17,1.33,22.17,88|20221125|0088,88,3.18
541,10.017,40.517,26.733,Mobile Web,Delivery,Dispatch,19.48,0.93,15.48,88|20221125|0074,88,4.0
541,3.717,36.6,17.933,Mobile Web,Delivery,Dispatch,22.49,0.75,12.48,88|20221125|0082,88,3.5
541,25.35,43.617,37.233,Mobile Web,Delivery,Dispatch,36.36,1.46,24.36,5166|20221125|0080,5166,6.37
541,4.217,25.733,20.75,Mobile Web,Delivery,Dispatch,26.77,1.61,26.77,88|20221125|0100,88,4.36
541,13.35,39.617,23.983,Mobile Web,Delivery,Dispatch,26.06,1.25,20.79,88|20221125|0078,88,3.16
541,15.183,40.417,31.067,Mobile Web,Delivery,Dispatch,32.16,1.69,28.16,88|20221125|0075,88,3.0
541,7.4,22.517,18.767,Mobile Web,Delivery,Dispatch,51.24,2.78,46.24,88|20221125|0119,88,2.98
541,1.1,14.067,8.667,Mobile Web,Delivery,Dispatch,19.98,0.97,16.23,88|20221125|0024,88,3.0
541,8.0,40.583,27.633,Mobile Web,Delivery,Dispatch,45.24,1.84,30.68,88|20221125|0063,88,6.04
541,2.15,28.1,15.65,Mobile Web,Delivery,Dispatch,88.43,3.87,64.43,5166|20221125|0018,5166,14.52
541,10.633,29.433,19.133,Mobile Web,Delivery,Dispatch,46.04,2.16,36.04,88|20221125|0055,88,5.0
541,15.283,40.25,27.2,Mobile Web,Delivery,Dispatch,36.47,1.27,21.11,18|20221125|0113,18,0.0
541,18.817,37.967,29.65,Mobile Web,Delivery,Dispatch,32.76,1.56,25.96,18|20221125|0077,18,5.24
541,13.15,36.4,26.7,Mobile Web,Delivery,Dispatch,75.53,4.05,67.53,18|20221125|0123,18,0.0
541,14.1,35.133,22.283,Mobile Web,Delivery,Dispatch,33.32,1.86,30.99,18|20221125|0080,18,3.9
541,10.483,25.483,17.217,Mobile Web,Delivery,Dispatch,13.99,0.0,0.0,18|20221125|0024,18,0.0
541,7.283,22.833,15.083,Mobile Web,Delivery,Dispatch,35.03,1.22,20.28,18|20221125|0006,18,2.0
541,18.467,34.1,28.583,Mobile Web,Delivery,Dispatch,23.87,1.43,23.87,5166|20221125|0094,5166,3.88
541,2.817,19.133,15.033,Mobile Web,Delivery,Dispatch,37.06,1.35,22.46,5166|20221125|0100,5166,4.89
541,17.917,46.317,39.0,Mobile Web,Delivery,Dispatch,57.42,2.19,36.55,88|20221125|0068,88,6.45
541,14.15,35.633,24.517,Mobile Web,Delivery,Dispatch,23.97,1.44,23.97,88|20221125|0079,88,3.8
541,2.75,22.5,12.25,Mobile Web,Delivery,Dispatch,31.47,1.08,17.98,5166|20221125|0032,5166,6.74
541,4.35,43.417,25.283,Tablet Web,Delivery,Dispatch,31.94,1.92,31.94,88|20221125|0070,88,2.0
541,2.567,34.683,12.967,Desktop Web,Delivery,Dispatch,24.97,0.54,8.97,88|20221125|0043,88,1.49
541,6.483,32.0,25.833,Desktop Web,Delivery,Dispatch,34.15,2.05,34.15,88|20221125|0065,88,5.0
541,1.617,39.65,26.583,Desktop Web,Delivery,Dispatch,66.62,2.8,46.62,5166|20221125|0017,5166,8.13
541,10.2,33.717,24.767,Desktop Web,Delivery,Dispatch,39.96,1.56,25.97,88|20221125|0085,88,6.99
541,9.017,30.067,20.717,Desktop Web,Delivery,Dispatch,22.98,1.14,18.98,88|20221125|0107,88,0.0
541,6.467,24.2,14.5,Desktop Web,Delivery,Dispatch,24.48,1.23,20.48,18|20221125|0102,18,3.9
754,3.45,36.067,22.967,Desktop Web,Delivery,Dispatch,46.04,0.0,46.04,2792|20221125|0026,2792,6.05
541,10.05,31.133,25.05,Traditional,Delivery,Dispatch,106.93,6.42,106.93,88|20221125|0005,88,20.0
541,1.167,20.783,8.167,Traditional,Delivery,Dispatch,78.94,4.74,78.94,88|20221125|0010,88,0.0
541,1.55,24.417,7.683,Traditional,Delivery,Dispatch,18.98,0.93,15.48,88|20221125|0006,88,0.0
541,8.567,30.983,21.65,Third Party Call Center - Transcom,Delivery,Dispatch,27.36,1.4,23.36,88|20221125|0031,88,0.0
541,4.55,19.167,12.55,Third Party Call Center - Transcom,Delivery,Dispatch,24.87,1.49,24.87,88|20221125|0045,88,0.0
541,4.583,23.517,14.1,Third Party Call Center - Transcom,Delivery,Dispatch,21.49,1.29,21.48,5166|20221125|0014,5166,2.55
541,3.75,18.033,10.967,iOS,Delivery,Dispatch,22.08,1.08,17.98,88|20230628|0024,88,0.0
541,7.15,23.033,18.683,iOS,Delivery,Dispatch,29.18,1.75,29.18,5166|20230628|0068,5166,3.0
541,6.55,17.5,12.9,iOS,Delivery,Dispatch,27.37,0.56,9.27,88|20230628|0021,88,3.07
541,4.567,29.333,14.65,iOS,Delivery,Dispatch,31.93,1.62,26.96,88|20230628|0081,88,5.0
541,11.717,32.383,26.267,iOS,Delivery,Dispatch,24.37,1.14,18.97,18|20230628|0020,18,1.5
541,0.0,15.367,8.95,iOS,Delivery,Dispatch,16.26,0.98,16.26,5166|20230628|0009,5166,5.0
541,5.033,27.117,15.433,iOS,Delivery,Dispatch,43.54,1.77,29.47,5166|20230628|0007,5166,5.86
541,5.083,34.217,21.617,iOS,Delivery,Dispatch,68.19,2.93,48.81,5166|20230628|0001,5166,12.42
541,6.3,22.7,14.7,iOS,Delivery,Dispatch,30.06,1.56,25.96,88|20230628|0017,88,4.63
541,17.317,31.983,26.417,iOS,Delivery,Dispatch,22.08,1.08,17.98,88|20230628|0079,88,4.0
541,4.717,20.75,12.783,iOS,Delivery,Dispatch,18.86,1.13,18.86,88|20230628|0060,88,2.08
541,11.85,26.017,18.95,Android,Delivery,Dispatch,37.37,1.26,20.98,88|20230628|0015,88,5.0
541,7.267,23.267,14.1,PapaCall,Delivery,Dispatch,50.66,3.04,50.66,88|20230628|0033,88,6.85
541,8.8,35.433,19.817,PapaCall,Delivery,Dispatch,27.17,1.14,18.97,18|20230628|0021,18,0.0
541,2.433,24.117,8.95,Mobile Web,Delivery,Dispatch,22.77,1.18,19.67,88|20230628|0023,88,2.38
541,4.5,24.417,13.783,Mobile Web,Delivery,Dispatch,24.96,1.17,19.56,18|20230628|0008,18,2.76
541,3.117,16.383,10.933,Mobile Web,Delivery,Dispatch,66.24,3.06,50.93,88|20230628|0013,88,12.25
541,3.3,33.5,10.133,Mobile Web,Delivery,Dispatch,25.77,1.3,21.67,88|20230628|0036,88,3.12
541,3.583,25.2,13.3,Mobile Web,Delivery,Dispatch,39.27,1.86,30.98,88|20230628|0055,88,4.57
541,3.35,17.167,10.45,Mobile Web,Delivery,Dispatch,31.17,1.48,24.62,88|20230628|0022,88,5.0
541,7.917,40.567,15.15,Mobile Web,Delivery,Dispatch,44.76,2.09,34.82,88|20230628|0035,88,8.0
541,26.483,48.533,34.633,Mobile Web,Delivery,Dispatch,22.88,1.11,18.41,88|20230628|0059,88,0.0
541,12.133,26.633,19.517,Tablet Web,Delivery,Dispatch,21.93,0.9,14.98,88|20230628|0037,88,4.0
541,5.483,22.567,16.367,Desktop Web,Delivery,Dispatch,25.95,1.34,22.36,88|20230628|0072,88,4.19
541,1.867,26.867,11.333,Desktop Web,Delivery,Dispatch,26.36,1.26,21.02,88|20230628|0061,88,4.27
541,3.167,21.7,12.183,Desktop Web,Delivery,Dispatch,34.16,1.65,27.56,88|20230628|0045,88,4.14
541,3.833,26.05,10.117,Traditional,Delivery,Dispatch,22.08,1.08,17.98,88|20230628|0025,88,5.0
754,27.633,45.217,40.15,Third Party Call Center - Tsourcing,Delivery,Dispatch,22.04,0.0,22.04,2792|20230628|0001,2792,0.0
754,38.667,66.117,48.867,Third Party Call Center - Tsourcing,Delivery,Dispatch,26.28,0.0,24.28,2792|20230628|0026,2792,0.0
541,7.783,26.183,16.533,iOS,Delivery,Dispatch,25.99,1.26,20.98,18|20230319|0180,18,2.64
541,3.767,18.017,12.133,iOS,Delivery,Dispatch,32.21,1.52,25.4,88|20230319|0036,88,4.08
541,3.0,32.5,13.1,iOS,Delivery,Dispatch,35.36,2.12,35.36,88|20230319|0018,88,0.0
541,18.567,44.817,28.483,iOS,Delivery,Dispatch,28.56,0.96,15.96,18|20230319|0071,18,3.54
541,5.433,53.917,16.167,iOS,Delivery,Dispatch,25.99,0.71,11.78,88|20230319|0093,88,4.62
541,12.117,33.383,20.367,iOS,Delivery,Dispatch,32.97,1.98,32.97,88|20230319|0012,88,5.6
541,10.117,31.033,18.75,iOS,Delivery,Dispatch,33.01,1.29,21.56,88|20230319|0046,88,5.41
541,4.55,30.083,13.717,iOS,Delivery,Dispatch,54.25,2.7,44.95,18|20230319|0151,18,0.0
541,2.3,30.583,11.483,iOS,Delivery,Dispatch,50.92,2.56,42.63,88|20230319|0025,88,6.32
541,10.117,26.3,16.983,iOS,Delivery,Dispatch,19.08,1.15,19.08,88|20230319|0069,88,2.11
541,15.3,33.183,23.617,iOS,Delivery,Dispatch,60.14,2.25,37.54,18|20230319|0091,18,7.51
541,23.917,60.867,34.55,iOS,Delivery,Dispatch,69.2,3.92,65.4,88|20230319|0037,88,0.0
541,6.15,30.283,14.15,iOS,Delivery,Dispatch,48.26,2.9,48.26,88|20230319|0009,88,6.49
541,0.217,20.817,13.75,iOS,Delivery,Dispatch,20.08,0.73,12.09,5166|20230319|0001,5166,0.0
541,28.35,41.283,36.3,iOS,Delivery,Dispatch,20.48,1.17,19.48,5166|20230319|0089,5166,0.0
541,0.45,13.983,7.767,iOS,Delivery,Dispatch,16.76,1.01,16.76,88|20230319|0049,88,0.0
541,6.783,21.55,16.1,iOS,Delivery,Dispatch,39.47,2.34,38.97,88|20230319|0013,88,5.17
541,2.95,18.3,11.4,iOS,Delivery,Dispatch,30.77,1.52,25.37,88|20230319|0052,88,6.04
541,5.667,19.6,15.7,iOS,Delivery,Dispatch,57.65,2.88,47.96,88|20230319|0056,88,7.61
